sampler,seed,step_size,mean_x1,mean_x2,std_x1,std_x2,left_mode_fraction,right_mode_fraction,mean_energy,mode_imbalance,acceptance_rate
ULA,1,0.1,-0.0025461787055450075,-0.10117211194899853,0.9799596026003418,1.0185310659409819,0.490234375,0.509765625,0.7620874415265686,0.009765625,
MALA,1,0.1,0.01172198325865544,-0.00895931809700584,1.0153494724911734,1.0123193069495313,0.484375,0.515625,0.7600341167437976,0.015625,0.982953125
ULA,2,0.1,0.006522471102312993,0.03215959695803823,0.9640202873518235,1.0054962545263388,0.494140625,0.505859375,0.714526112637098,0.005859375,
MALA,2,0.1,-0.04742341371096278,0.011594729521011714,1.0280914044333225,0.9414029108173396,0.509765625,0.490234375,0.6844566212974795,0.009765625,0.9819453125
ULA,3,0.1,-0.023222788782009937,0.06374378608290363,1.0025302774928675,1.0464048769174292,0.5234375,0.4765625,0.806517848969039,0.0234375,
MALA,3,0.1,0.000636422109938195,-0.0019443079130311292,1.0181601283174817,1.0011240189586295,0.4921875,0.5078125,0.7571783009044266,0.0078125,0.98212109375
ULA,4,0.1,-0.10934455632809176,-0.0014212687011401146,1.0315014648080632,1.0281299205895333,0.548828125,0.451171875,0.8085554798182597,0.048828125,
MALA,4,0.1,-0.017253500576424944,0.05459362952082071,1.0261725999769178,1.0232591448591781,0.525390625,0.474609375,0.7602162436525821,0.025390625,0.982125
ULA,0,0.2,-0.03759267866145378,0.01865916027937021,1.0103558948231741,1.0808579634721,0.521484375,0.478515625,0.8497874919729375,0.021484375,
MALA,0,0.2,-0.03330309204576556,0.012442477143384305,1.042619224651572,0.9457401373957284,0.51171875,0.48828125,0.6931897370508595,0.01171875,0.9514609375
ULA,1,0.2,0.00023142838724007908,-0.09699098269135391,0.9822290203314505,1.047528498668441,0.5,0.5,0.8091645842120647,0.0,
MALA,1,0.2,0.03450599740291788,0.008696025650633186,1.017549521983361,0.9935750770656908,0.46484375,0.53515625,0.7387056994269464,0.03515625,0.953546875
ULA,2,0.2,0.010843051158274162,0.035613437640539425,0.9721326704476069,0.9956739190256221,0.484375,0.515625,0.7440746480040034,0.015625,
MALA,2,0.2,0.015123986117507513,0.02769296353933589,1.0251885910749767,0.9297476122046239,0.494140625,0.505859375,0.6636235230784384,0.005859375,0.95127734375
ULA,3,0.2,0.006529433491559274,0.0832536036647709,0.988272968280304,1.0545107853193267,0.48046875,0.51953125,0.8619777322938165,0.01953125,
MALA,3,0.2,0.003006459495875073,-6.287849850667576e-05,1.027526896752566,1.0120728174700027,0.484375,0.515625,0.7686619985490348,0.015625,0.95148046875
ULA,4,0.2,-0.07339190681539205,-0.007989428095890965,1.0157833219208312,1.0177670957377805,0.53515625,0.46484375,0.8146108311290423,0.03515625,
MALA,4,0.2,0.017486326190777036,0.062242318968578625,1.0126666078298592,1.0233766054404103,0.505859375,0.494140625,0.7531475077720327,0.005859375,0.95201171875
